Data Table for Weekly Deaths and Weekly % of ED Visits - The United States
Date generated: Wed Nov 06 2024 11:35:38 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,Weekly % of ED Visits,Death Data As Of
United States,Feb  6 2021,17034,3.93,Oct 31 2024
United States,Jan 30 2021,20322,4.78,Oct 31 2024
United States,Jan 23 2021,23687,5.56,Oct 31 2024
United States,Jan 16 2021,25692,6.51,Oct 31 2024
United States,Jan  9 2021,25974,7.21,Oct 31 2024
United States,Jan  2 2021,24845,7.06,Oct 31 2024
United States,Dec 26 2020,23364,6.8,Oct 31 2024
United States,Dec 19 2020,22314,6.36,Oct 31 2024
United States,Dec 12 2020,20913,6.18,Oct 31 2024
United States,Dec  5 2020,18545,5.72,Oct 31 2024
United States,Nov 28 2020,15615,5.6,Oct 31 2024
United States,Nov 21 2020,13343,5.05,Oct 31 2024
United States,Nov 14 2020,10644,4.34,Oct 31 2024
United States,Nov  7 2020,8754,3.42,Oct 31 2024
United States,Oct 31 2020,7019,2.7,Oct 31 2024
United States,Oct 24 2020,5990,2.26,Oct 31 2024
United States,Oct 17 2020,5195,1.9,Oct 31 2024
United States,Oct 10 2020,4813,1.62,Oct 31 2024
United States,Oct  3 2020,4240,1.32,Oct 31 2024
United States,Sep 26 2020,4296,1.19,Oct 31 2024
United States,Sep 19 2020,4273,1.1,Oct 31 2024
United States,Sep 12 2020,4618,1.1,Oct 31 2024
United States,Sep  5 2020,5010,1.18,Oct 31 2024
United States,Aug 29 2020,5739,1.29,Oct 31 2024
United States,Aug 22 2020,6374,1.44,Oct 31 2024
United States,Aug 15 2020,7248,1.67,Oct 31 2024
United States,Aug  8 2020,7848,1.99,Oct 31 2024
United States,Aug  1 2020,8285,2.27,Oct 31 2024
United States,Jul 25 2020,8229,2.53,Oct 31 2024
United States,Jul 18 2020,7166,2.79,Oct 31 2024
United States,Jul 11 2020,5770,2.82,Oct 31 2024
United States,Jul  4 2020,4540,2.56,Oct 31 2024
United States,Jun 27 2020,3835,1.92,Oct 31 2024
United States,Jun 20 2020,3844,1.38,Oct 31 2024
United States,Jun 13 2020,4227,1.05,Oct 31 2024
United States,Jun  6 2020,5046,1,Oct 31 2024
United States,May 30 2020,6160,1.1,Oct 31 2024
United States,May 23 2020,7229,1.3,Oct 31 2024
United States,May 16 2020,9229,1.48,Oct 31 2024
United States,May  9 2020,11223,1.73,Oct 31 2024
United States,May  2 2020,13200,2.02,Oct 31 2024
United States,Apr 25 2020,15525,2.14,Oct 31 2024
United States,Apr 18 2020,17201,2.26,Oct 31 2024
United States,Apr 11 2020,16306,2.21,Oct 31 2024
United States,Apr  4 2020,10113,1.36,Oct 31 2024
United States,Mar 28 2020,3211,0.27,Oct 31 2024
United States,Mar 21 2020,586,0.04,Oct 31 2024
United States,Mar 14 2020,60,0,Oct 31 2024
United States,Mar  7 2020,38,0,Oct 31 2024
United States,Feb 29 2020,9,0,Oct 31 2024
United States,Feb 22 2020,6,0,Oct 31 2024
United States,Feb 15 2020,6,0,Oct 31 2024
United States,Feb  8 2020,4,0,Oct 31 2024
United States,Feb  1 2020,0,0,Oct 31 2024
United States,Jan 25 2020,3,0,Oct 31 2024
United States,Jan 18 2020,2,0,Oct 31 2024
United States,Jan 11 2020,1,0,Oct 31 2024
